,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,City,Total cases,In-patient,Recoveries,Deaths,Date
0,0.0,0.0,0.0,Ho Chi Minh City,"102,466","59,819","40,973","1,674",06-08-2021
1,1.0,1.0,1.0,Bình Dương,"19,402","19,325",45,32,06-08-2021
2,2.0,2.0,2.0,Long An,"7,023","6,946",11,66,06-08-2021
3,3.0,3.0,3.0,Bắc Giang,"5,818","2,213","3,592",13,06-08-2021
4,4.0,4.0,4.0,Đồng Nai,"5,393","5,338",32,23,06-08-2021
5,5.0,5.0,5.0,Đồng Tháp,"2,891","2,799",27,65,06-08-2021
6,6.0,6.0,6.0,Khánh Hòa,"2,714","2,564",128,22,06-08-2021
7,7.0,7.0,7.0,Tiền Giang,"2,348","2,295",5,48,06-08-2021
8,8.0,8.0,8.0,Hanoi,"1,975","1,433",518,23,06-08-2021
9,9.0,9.0,9.0,Tây Ninh,"1,948","1,896",51,1,06-08-2021
10,10.0,10.0,10.0,Bắc Ninh,"1,755",700,"1,042",13,06-08-2021
11,11.0,11.0,11.0,Bà Rịa-Vũng Tàu,"1,606","1,478",127,1,06-08-2021
12,12.0,12.0,12.0,Đà Nẵng,"1,591",931,617,40,06-08-2021
13,13.0,13.0,13.0,Phú Yên,"1,452","1,424",28,0,06-08-2021
14,14.0,14.0,14.0,Cần Thơ,"1,267","1,229",34,4,06-08-2021
15,15.0,15.0,15.0,Vĩnh Long,974,951,13,10,06-08-2021
16,16.0,16.0,16.0,Bến Tre,920,888,18,14,06-08-2021
17,17.0,17.0,17.0,Hải Dương,847,43,804,0,06-08-2021
18,18.0,18.0,18.0,Bình Thuận,757,745,11,1,06-08-2021
19,19.0,19.0,19.0,Trà Vinh,412,401,8,3,06-08-2021
20,20.0,20.0,20.0,An Giang,392,382,9,1,06-08-2021
21,21.0,21.0,21.0,Kiên Giang,375,249,24,2,06-08-2021
22,22.0,22.0,22.0,Quảng Ngãi,311,303,8,0,06-08-2021
23,23.0,23.0,23.0,Hưng Yên,296,228,68,0,06-08-2021
24,24.0,24.0,24.0,Quảng Nam,288,161,123,4,06-08-2021
25,25.0,25.0,25.0,Ninh Thuận,261,247,12,2,06-08-2021
26,26.0,26.0,26.0,Nghệ An,250,244,5,1,06-08-2021
27,27.0,27.0,27.0,Vĩnh Phúc,250,200,49,1,06-08-2021
28,28.0,28.0,28.0,Hậu Giang,244,244,0,0,06-08-2021
29,29.0,29.0,29.0,Bình Định,241,241,0,0,06-08-2021
30,30.0,30.0,30.0,Bình Phước,237,237,0,0,06-08-2021
31,31.0,31.0,31.0,Đắk Lắk,235,231,4,0,06-08-2021
32,32.0,32.0,32.0,Sóc Trăng,223,223,0,0,06-08-2021
33,33.0,33.0,33.0,Hà Tĩnh,180,159,20,1,06-08-2021
34,34.0,34.0,34.0,Gia Lai,134,107,27,0,06-08-2021
35,35.0,35.0,35.0,Lạng Sơn,132,117,14,1,06-08-2021
36,36.0,36.0,36.0,Thanh Hóa,112,86,26,0,06-08-2021
37,37.0,37.0,37.0,Quảng Ninh,104,17,87,0,06-08-2021
38,38.0,38.0,38.0,Đắk Nông,98,98,0,0,06-08-2021
39,39.0,39.0,39.0,Bạc Liêu,90,27,53,0,06-08-2021
40,40.0,40.0,40.0,Ninh Bình,81,45,36,0,06-08-2021
41,41.0,41.0,41.0,Thái Bình,79,25,54,0,06-08-2021
42,42.0,42.0,42.0,Thừa Thiên-Huế,76,70,6,0,06-08-2021
43,43.0,43.0,43.0,Hà Nam,73,39,34,0,06-08-2021
44,44.0,44.0,44.0,Điện Biên,61,28,33,0,06-08-2021
45,45.0,45.0,45.0,Lâm Đồng,52,52,0,0,06-08-2021
46,46.0,46.0,46.0,Hòa Bình,45,14,31,0,06-08-2021
47,47.0,47.0,47.0,Cà Mau,39,31,8,0,06-08-2021
48,48.0,48.0,48.0,Hải Phòng,38,26,12,0,06-08-2021
49,49.0,49.0,49.0,Quảng Trị,30,17,12,1,06-08-2021
50,50.0,50.0,50.0,Nam Định,30,12,18,0,06-08-2021
51,51.0,51.0,51.0,Sơn La,22,22,0,0,06-08-2021
52,52.0,52.0,52.0,Hà Giang,21,18,3,0,06-08-2021
53,53.0,53.0,53.0,Lào Cai,19,17,2,0,06-08-2021
54,54.0,54.0,54.0,Thái Nguyên,19,11,8,0,06-08-2021
55,55.0,55.0,55.0,Kon Tum,18,18,0,0,06-08-2021
56,56.0,56.0,56.0,Phú Thọ,16,13,3,0,06-08-2021
57,57.0,57.0,57.0,Quảng Bình,13,13,0,0,06-08-2021
58,58.0,58.0,58.0,Bắc Kạn,6,6,0,0,06-08-2021
59,59.0,59.0,59.0,Yên Bái,5,0,5,0,06-08-2021
60,60.0,60.0,60.0,Lai Châu,2,1,1,0,06-08-2021
61,61.0,61.0,61.0,Tuyên Quang,2,1,1,0,06-08-2021
62,62.0,0.0,,Ho Chi Minh City,"113,712","59,819","40,973","2,324",07-08-2021
63,63.0,1.0,,Bình Dương,"23,536","19,325",45,145,07-08-2021
64,64.0,2.0,,Long An,"9,024","6,946",11,104,07-08-2021
65,65.0,3.0,,Đồng Nai,"6,694","5,338",32,53,07-08-2021
66,66.0,4.0,,Bắc Giang,"5,820",32,"5,775",13,07-08-2021
67,67.0,5.0,,Đồng Tháp,"3,302","2,799",27,81,07-08-2021
