,Unnamed: 0,City,Total cases,In-patient,Recoveries,Deaths,Date,Location,Cases
0,0.0,Ho Chi Minh City,"102,466","59,819","40,973","1,674",06-08-2021,,
1,1.0,Bình Dương,"19,402","19,325",45,32,06-08-2021,,
2,2.0,Long An,"7,023","6,946",11,66,06-08-2021,,
3,3.0,Bắc Giang,"5,818","2,213","3,592",13,06-08-2021,,
4,4.0,Đồng Nai,"5,393","5,338",32,23,06-08-2021,,
5,5.0,Đồng Tháp,"2,891","2,799",27,65,06-08-2021,,
6,6.0,Khánh Hòa,"2,714","2,564",128,22,06-08-2021,,
7,7.0,Tiền Giang,"2,348","2,295",5,48,06-08-2021,,
8,8.0,Hanoi,"1,975","1,433",518,23,06-08-2021,,
9,9.0,Tây Ninh,"1,948","1,896",51,1,06-08-2021,,
10,10.0,Bắc Ninh,"1,755",700,"1,042",13,06-08-2021,,
11,11.0,Bà Rịa-Vũng Tàu,"1,606","1,478",127,1,06-08-2021,,
12,12.0,Đà Nẵng,"1,591",931,617,40,06-08-2021,,
13,13.0,Phú Yên,"1,452","1,424",28,0,06-08-2021,,
14,14.0,Cần Thơ,"1,267","1,229",34,4,06-08-2021,,
15,15.0,Vĩnh Long,974,951,13,10,06-08-2021,,
16,16.0,Bến Tre,920,888,18,14,06-08-2021,,
17,17.0,Hải Dương,847,43,804,0,06-08-2021,,
18,18.0,Bình Thuận,757,745,11,1,06-08-2021,,
19,19.0,Trà Vinh,412,401,8,3,06-08-2021,,
20,20.0,An Giang,392,382,9,1,06-08-2021,,
21,21.0,Kiên Giang,375,249,24,2,06-08-2021,,
22,22.0,Quảng Ngãi,311,303,8,0,06-08-2021,,
23,23.0,Hưng Yên,296,228,68,0,06-08-2021,,
24,24.0,Quảng Nam,288,161,123,4,06-08-2021,,
25,25.0,Ninh Thuận,261,247,12,2,06-08-2021,,
26,26.0,Nghệ An,250,244,5,1,06-08-2021,,
27,27.0,Vĩnh Phúc,250,200,49,1,06-08-2021,,
28,28.0,Hậu Giang,244,244,0,0,06-08-2021,,
29,29.0,Bình Định,241,241,0,0,06-08-2021,,
30,30.0,Bình Phước,237,237,0,0,06-08-2021,,
31,31.0,Đắk Lắk,235,231,4,0,06-08-2021,,
32,32.0,Sóc Trăng,223,223,0,0,06-08-2021,,
33,33.0,Hà Tĩnh,180,159,20,1,06-08-2021,,
34,34.0,Gia Lai,134,107,27,0,06-08-2021,,
35,35.0,Lạng Sơn,132,117,14,1,06-08-2021,,
36,36.0,Thanh Hóa,112,86,26,0,06-08-2021,,
37,37.0,Quảng Ninh,104,17,87,0,06-08-2021,,
38,38.0,Đắk Nông,98,98,0,0,06-08-2021,,
39,39.0,Bạc Liêu,90,27,53,0,06-08-2021,,
40,40.0,Ninh Bình,81,45,36,0,06-08-2021,,
41,41.0,Thái Bình,79,25,54,0,06-08-2021,,
42,42.0,Thừa Thiên-Huế,76,70,6,0,06-08-2021,,
43,43.0,Hà Nam,73,39,34,0,06-08-2021,,
44,44.0,Điện Biên,61,28,33,0,06-08-2021,,
45,45.0,Lâm Đồng,52,52,0,0,06-08-2021,,
46,46.0,Hòa Bình,45,14,31,0,06-08-2021,,
47,47.0,Cà Mau,39,31,8,0,06-08-2021,,
48,48.0,Hải Phòng,38,26,12,0,06-08-2021,,
49,49.0,Quảng Trị,30,17,12,1,06-08-2021,,
50,50.0,Nam Định,30,12,18,0,06-08-2021,,
51,51.0,Sơn La,22,22,0,0,06-08-2021,,
52,52.0,Hà Giang,21,18,3,0,06-08-2021,,
53,53.0,Lào Cai,19,17,2,0,06-08-2021,,
54,54.0,Thái Nguyên,19,11,8,0,06-08-2021,,
55,55.0,Kon Tum,18,18,0,0,06-08-2021,,
56,56.0,Phú Thọ,16,13,3,0,06-08-2021,,
57,57.0,Quảng Bình,13,13,0,0,06-08-2021,,
58,58.0,Bắc Kạn,6,6,0,0,06-08-2021,,
59,59.0,Yên Bái,5,0,5,0,06-08-2021,,
60,60.0,Lai Châu,2,1,1,0,06-08-2021,,
61,61.0,Tuyên Quang,2,1,1,0,06-08-2021,,
0,,,,,No data,"619,729",06-08-2021,United States,"35,347,977"
1,,,,,"30,974,748","426,290",06-08-2021,India,"31,812,114"
2,,,,,"18,840,232","560,706",06-08-2021,Brazil,"20,066,587"
3,,,,,"5,720,353","163,301",06-08-2021,Russia,"6,402,564"
4,,,,,No data,"112,130",06-08-2021,France,"6,233,876"
5,,,,,No data,"130,086",06-08-2021,United Kingdom,"5,982,581"
6,,,,,"5,484,821","51,875",06-08-2021,Turkey,"5,846,784"
7,,,,,"4,630,436","107,023",06-08-2021,Argentina,"4,989,402"
8,,,,,"4,624,669","121,899",06-08-2021,Colombia,"4,821,603"
9,,,,,No data,"81,931",06-08-2021,Spain,"4,566,571"
10,,,,,"4,147,979","128,163",06-08-2021,Italy,"4,377,188"
11,,,,,"3,467,765","92,628",06-08-2021,Iran,"4,057,758"
12,,,,,"3,662,492","92,256",06-08-2021,Germany,"3,805,128"
13,,,,,"2,947,646","102,375",06-08-2021,Indonesia,"3,568,331"
14,,,,,"2,283,539","243,165",06-08-2021,Mexico,"2,922,663"
15,,,,,"2,654,224","75,281",06-08-2021,Poland,"2,883,796"
16,,,,,"2,268,085","73,873",06-08-2021,South Africa,"2,497,655"
17,,,,,"2,189,293","53,065",06-08-2021,Ukraine,"2,257,478"
18,,,,,"2,088,338","196,760",06-08-2021,Peru,"2,121,061"
19,,,,,No data,"17,850",06-08-2021,Netherlands,"1,878,214"
20,,,,,"1,502,221","19,000",06-08-2021,Iraq,"1,684,955"
